artists,name,album
Fire! Orchestra,Ritual Part 5,Ritual
Hannah James, Toby Kuhn,Vine Dance,Sleeping Spirals
Yes Maam, Blind Boy Paxton,Dirty Ol' Christmas Blues,Best of Street New Orleans Xmas
Beans on Toast,Keep You,Giving Everything
Simple Kid,Staring At The Sun,1
A Tribe Called Quest, Busta Rhymes, Jack White, Elton John,Solid Wall of Sound (feat. Busta Rhymes, Jack White & Elton John),We got it from Here... Thank You 4 Your service
James Blake,Limit To Your Love,James Blake
Sigur Rós,Gong,Takk...
Noisia,Headknot,Split The Atom
Crack The Sky,A Night On The Town (With Snow White),Safety In Numbers - 21st Century Redux - Featuring John Palumbo
Jeff Buckley,Mojo Pin,Grace (Legacy Edition)
De Staat,Devil's Blood,I_CON
Les Paul, Mary Ford,The World Is Waiting For The Sunrise,The Hit Makers
The Tea Party,Winter Solstice,Splendor Solis
Porcupine Tree,Dark Matter,Signify (Remaster)
Rufus Wainwright,Poses,Poses
House of Waters,Kites,Rising
Gordon Lightfoot,The Pony Man,If You Could Read My Mind
Gordon Lightfoot,If You Could Read My Mind,If You Could Read My Mind
Sturgill Simpson,I Don't Mind,Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions)
Noordpool Orchestra,Weird Fishes,Radiohead, A Jazz Symphony
Parov Stelar, Cleo Panther,Nobody's Fool,The Princess
Lenny Kravitz,Fields Of Joy,Mama Said
Bert Jansch,Angie - 2015 Remaster,Bert Jansch
Sturgill Simpson,Sam,The Ballad of Dood & Juanita
Colin Hay,Overkill - Acoustic Version,Man @ Work
Squid, Martha Skye Murphy,Narrator,Bright Green Field
Sturgill Simpson,It Ain't All Flowers,Metamodern Sounds in Country Music
Sturgill Simpson,Turtles All the Way Down,Metamodern Sounds in Country Music
Jacob Collier,Hideaway,In My Room
Aphex Twin,Alberto Balsalm,...I Care Because You Do
Steely Dan,Black Cow,Aja
Yosi Horikawa,Bubbles,Wandering
Johnny Cash,The Mercy Seat,American III: Solitary Man
Noel Gallagher's High Flying Birds,The Right Stuff,Chasing Yesterday
Nala Sinephro,Space 1,Space 1.8
Radiohead,Weird Fishes/ Arpeggi,In Rainbows
Helado Negro,Gemini and Leo,Far In
Yasmin Williams,Juvenescence,Urban Driftwood
Uncle Tupelo,Sandusky,March 16-20, 1992
