artists,name,album
Heaven 17,Temptation - 12" Version / Remastered 2016,The Luxury Gap
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous
The Jam,Town Called Malice,The Gift
Yazoo,Don't Go,Upstairs at Eric’s
Orchestral Manoeuvres In The Dark,Enola Gay - Remastered 2003,Organisation
